customer_id,age,annual_income,monthly_spending,purchase_frequency,avg_transaction_value,website_visits_monthly,avg_session_minutes,days_since_last_purchase,support_contacts_yearly,discount_usage_percent,loyalty_years,satisfaction_score
CUST-000001,22,42781.16,1396.83,13,73.07,33,14.96,12,5,74.79,0.0,7.71
CUST-000002,42,114899.45,2263.17,20,146.65,26,10.94,19,1,33.05,8.29,7.81
CUST-000003,78,60498.72,369.12,3,110.77,10,6.49,82,5,17.83,8.79,7.77
CUST-000004,36,48334.34,1265.37,12,80.14,27,22.59,28,1,78.68,1.99,6.8
CUST-000005,46,42550.49,897.77,8,112.01,8,10.34,38,2,32.25,8.84,6.58
CUST-000006,61,57408.41,605.94,4,110.03,10,1.83,60,4,39.49,5.42,5.59
CUST-000007,41,30871.81,893.65,8,115.21,38,20.9,13,4,66.48,2.74,7.26
CUST-000008,33,62556.13,803.28,13,89.95,38,16.81,8,5,67.15,6.39,7.53
CUST-000009,40,68167.9,921.57,11,80.81,6,10.08,35,2,43.07,4.95,6.02
CUST-000010,50,142257.36,2698.25,13,166.65,27,18.39,0,1,6.81,7.91,9.09
CUST-000011,46,128074.1,3252.02,16,141.57,31,15.49,17,0,29.83,10.68,8.38
CUST-000012,56,44454.61,353.51,1,98.27,5,6.12,59,4,16.56,5.34,4.17
CUST-000013,31,45591.77,1299.77,9,101.37,37,18.65,0,2,63.32,4.48,7.53
CUST-000014,56,45849.35,317.78,4,112.52,8,10.13,62,4,7.68,5.38,7.27
CUST-000015,40,132432.12,3424.27,14,186.67,32,13.69,19,0,25.17,7.93,7.17
CUST-000016,34,68740.66,840.06,10,117.77,15,8.49,29,3,41.41,3.24,8.74
CUST-000017,35,51328.42,1275.22,14,39.21,39,22.92,17,3,60.85,2.89,6.8
CUST-000018,52,52362.0,810.44,7,155.86,14,7.36,0,1,41.33,4.94,6.85
CUST-000019,50,73412.72,669.15,6,133.98,16,11.64,66,3,50.0,3.26,4.77
CUST-000020,22,46864.74,704.3,10,69.44,32,21.19,14,4,73.61,1.63,7.99
CUST-000021,34,45249.02,786.92,14,53.47,40,18.24,0,3,70.3,2.35,7.15
CUST-000022,43,127246.31,2206.66,14,191.87,29,14.82,8,0,35.78,3.48,9.09
CUST-000023,72,56479.72,446.91,4,99.95,19,2.47,58,4,48.89,3.96,6.23
CUST-000024,64,62711.94,514.07,6,102.71,5,5.44,66,7,21.61,5.87,4.3
CUST-000025,31,45519.42,1435.81,15,120.42,45,17.8,3,2,71.63,2.28,7.26
CUST-000026,38,78039.57,608.41,7,83.07,14,12.74,22,2,42.97,3.4,7.88
CUST-000027,50,91592.25,2334.41,17,207.05,30,19.29,16,1,17.23,6.8,8.09
CUST-000028,45,66793.09,667.6,10,64.08,14,12.45,32,2,58.63,3.21,5.5
CUST-000029,46,42151.79,735.37,9,98.48,18,5.53,35,0,50.82,3.14,9.03
CUST-000030,23,64629.97,986.64,9,86.08,44,20.37,28,4,58.16,3.38,7.09
CUST-000031,24,49549.62,1234.51,16,72.13,35,15.9,37,2,83.56,0.14,7.51
CUST-000032,57,67210.35,520.57,3,81.57,15,3.09,43,2,8.62,6.07,8.01
CUST-000033,32,98801.11,2650.92,19,155.3,27,12.25,41,1,22.27,7.15,8.09
CUST-000034,56,91008.13,1454.88,16,195.39,21,13.56,0,2,25.82,7.04,8.67
CUST-000035,37,87077.91,2530.22,17,189.11,22,15.24,27,1,21.72,6.63,8.37
CUST-000036,43,81008.43,1081.22,10,98.66,11,10.17,40,4,5.57,8.4,7.92
CUST-000037,49,42582.22,853.09,10,80.63,1,10.01,24,4,33.08,3.84,8.2
CUST-000038,56,100328.91,3140.25,15,175.41,27,15.54,14,0,0.0,6.66,9.47
CUST-000039,46,64701.09,898.61,9,85.15,19,11.54,21,3,14.4,4.32,7.37
CUST-000040,40,46283.73,1488.88,12,27.85,37,18.59,16,3,61.92,1.42,5.87
CUST-000041,32,112796.3,2173.74,18,120.45,25,19.36,8,1,23.12,7.91,8.09
CUST-000042,47,61461.94,243.7,5,85.21,7,3.42,87,4,24.14,4.37,5.65
CUST-000043,49,36620.36,1547.79,14,123.5,41,18.01,26,3,77.06,4.57,7.09
CUST-000044,45,101673.09,2857.71,14,166.25,19,14.53,1,0,4.67,5.97,8.02
CUST-000045,57,53399.93,454.22,4,113.51,1,1.62,77,4,39.72,2.22,5.32
CUST-000046,53,56648.98,423.32,4,92.13,14,10.07,57,4,37.58,6.05,5.39
CUST-000047,50,82222.41,2589.05,13,187.7,18,13.49,14,1,10.42,6.62,9.68
CUST-000048,39,62239.16,789.76,10,111.95,11,9.02,22,4,34.46,1.51,8.0
CUST-000049,44,58341.48,946.69,12,84.23,38,19.14,10,2,79.42,0.0,6.2
CUST-000050,33,68832.29,921.08,10,90.37,9,7.67,23,2,14.81,4.86,6.61
CUST-000051,37,75098.6,467.73,9,117.97,11,7.66,40,4,47.78,7.39,6.81
CUST-000052,29,61412.74,1059.36,4,86.84,11,10.07,28,1,37.16,1.94,7.07
CUST-000053,20,46701.95,1029.87,15,84.35,37,23.3,19,3,61.0,0.0,6.93
CUST-000054,32,31459.79,874.9,12,57.55,38,18.55,13,4,60.98,1.92,6.0
CUST-000055,32,48655.85,920.4,13,84.05,39,18.95,5,4,74.28,0.7,5.86
CUST-000056,25,35284.96,1307.2,16,120.54,33,20.36,15,0,64.01,1.2,8.21
CUST-000057,41,126655.43,2538.75,13,161.2,32,12.48,21,2,12.62,4.69,7.35
CUST-000058,42,49311.01,773.2,15,40.33,34,18.24,44,4,62.21,2.05,7.92
CUST-000059,53,59236.34,856.71,6,126.63,20,3.18,20,1,36.81,1.77,6.18
CUST-000060,51,60151.97,888.14,9,134.27,13,7.81,20,3,34.18,3.48,7.89
CUST-000061,45,48641.81,1175.9,17,118.25,44,16.5,7,1,79.58,2.14,5.2
CUST-000062,58,108016.84,2477.55,13,187.3,27,12.86,5,4,3.56,5.7,9.21
CUST-000063,22,38597.89,1561.17,14,97.1,39,15.92,11,3,78.15,2.77,6.07
CUST-000064,36,33497.71,1161.88,10,63.57,48,13.59,4,4,62.36,2.28,8.43
CUST-000065,35,43950.58,1213.23,14,100.87,38,19.08,18,3,60.74,3.34,7.29
CUST-000066,18,40864.78,1117.82,13,115.1,54,10.62,18,3,65.83,2.98,7.15
CUST-000067,27,48252.66,1403.06,14,89.72,35,26.46,18,4,61.91,2.34,7.18
CUST-000068,33,100165.12,2179.5,15,148.25,24,17.19,12,0,5.63,6.32,7.08
